title,location,category,description,link
Housekeeping Supervisor,N/A,Rooms,N/A,https://careers.accor.com/global/en/job/housekeeping-supervisor-in-fairmont-the-norfolk-nairobi-kenya-jid-96769
Pastry Chef,N/A,Culinary,N/A,https://careers.accor.com/global/en/job/pastry-chef-in-fairmont-mount-kenya-safari-club-nanyuki-kenya-jid-96636
Commi 1,N/A,Culinary,N/A,https://careers.accor.com/global/en/job/commi-1-in-fairmont-mount-kenya-safari-club-nanyuki-kenya-jid-96635
Bartender,N/A,Food & Beverage,N/A,https://careers.accor.com/global/en/job/bartender-in-fairmont-mount-kenya-safari-club-nanyuki-kenya-jid-96438
Sales & Account Manager,N/A,Sales & Marketing,N/A,https://careers.accor.com/global/en/job/sales-and-account-manager-in-ibis-styles-nairobi-westlands-nairobi-kenya-jid-96112
Pastry Chef De Partie,N/A,Culinary,N/A,https://careers.accor.com/global/en/job/pastry-chef-de-partie-in-ibis-styles-nairobi-westlands-nairobi-kenya-jid-96071
Butchery Chef,N/A,Culinary,N/A,https://careers.accor.com/global/en/job/butchery-chef-in-ibis-styles-nairobi-westlands-nairobi-kenya-jid-44135
Tour Guide,N/A,Rooms,N/A,https://careers.accor.com/global/en/job/tour-guide-in-fairmont-mount-kenya-safari-club-nanyuki-kenya-jid-95650
Restaurant Supervisor,N/A,Food & Beverage,N/A,https://careers.accor.com/global/en/job/restaurant-supervisor-in-fairmont-mount-kenya-safari-club-nanyuki-kenya-jid-95988
Chef de Partie-Butchery,N/A,Culinary,N/A,https://careers.accor.com/global/en/job/chef-de-partie-butchery-in-pullman-nairobi-upper-hill-nairobi-kenya-jid-92973
Cluster Director Engineering,N/A,Engineering & Maintenance,N/A,https://careers.accor.com/global/en/job/cluster-director-engineering-in-fairmont-the-norfolk-nairobi-kenya-jid-95926
Cluster Director of Revenue,N/A,Revenue Management & Pricing,N/A,https://careers.accor.com/global/en/job/cluster-director-of-revenue-in-fairmont-the-norfolk-nairobi-kenya-jid-95927
